5,9,1,16,4,2,8,2,13,13,4,17,17,19,8,18,4,19,15,1,16,4,2,3,9,16,1,8,8,2,0,6,2,18,12,8,11,11,13,1,5,8,2,8,19,10,1,0,15,13,18,15,12,15,2,14,15,18,3,5,10,9,1,8
5,0,0,4,17,7,2,18,8,0,10,3,10,1,14,18,9,2,8,3,6,19,13,7,14,6,11,4,9,16,0,13,6,14,0,2,12,9,14,8,5,8,18,0,15,4,1,5,8,3,18,12,5,0,3,3,5,5,18,7,8,1,1,1
4,11,15,13,16,3,3,8,5,5,6,8,1,15,9,13,15,0,17,0,17,17,11,10,13,1,5,5,9,6,7,9,15,9,3,8,19,19,15,16,19,19,11,16,9,0,7,3,2,5,4,19,13,0,15,19,3,3,14,8,7,16,9,18
19,19,5,13,1,6,1,2,8,17,9,14,8,8,8,15,2,3,12,15,18,8,16,9,8,4,17,10,8,7,8,9,1,5,0,11,13,10,3,7,12,4,5,14,17,16,11,11,6,14,4,8,2,19,9,18,3,1,4,13,7,13,3,3
8,8,19,18,5,15,2,0,1,7,7,6,9,11,7,9,5,3,17,3,10,17,3,18,16,3,10,3,5,6,10,5,11,12,19,4,14,6,16,8,0,16,3,13,4,16,4,3,13,17,0,19,16,3,19,2,19,17,17,11,3,15,0,3
8,13,13,16,18,9,0,2,7,3,5,7,2,3,6,7,11,12,2,3,14,11,10,11,18,10,7,1,8,15,17,18,17,1,1,14,15,13,9,12,19,18,11,16,6,9,2,2,15,0,2,2,14,16,1,17,5,12,10,1,7,14,7,10
17,2,11,10,3,13,15,11,15,6,1,3,17,17,14,7,17,10,13,15,7,14,16,1,11,17,5,12,18,18,13,6,12,16,1,3,7,17,2,13,13,14,8,13,0,3,6,16,3,16,4,16,0,4,13,19,0,2,13,7,5,6,12,5
3,0,18,7,14,3,2,14,3,17,17,19,9,13,15,16,11,9,16,6,5,5,18,16,18,19,18,15,14,1,3,11,11,17,14,16,14,3,17,8,18,8,7,9,0,3,8,11,2,4,7,4,11,14,3,18,3,2,0,3,10,6,15,4
3,7,19,6,12,14,5,9,0,16,9,16,16,7,6,9,13,13,19,1,3,14,14,10,0,5,13,18,7,6,12,15,10,17,2,10,16,5,5,19,13,18,17,13,8,2,17,7,11,6,2,4,3,8,15,12,6,4,0,15,3,14,7,5
11,8,11,12,7,4,8,9,8,17,12,4,2,4,3,11,11,15,4,11,7,13,3,18,6,4,12,9,8,9,10,17,2,17,0,6,4,11,11,0,10,13,2,7,10,9,0,18,11,16,4,5,14,17,16,8,9,2,9,15,17,5,14,15
4,10,1,12,10,5,9,1,19,4,7,2,6,19,14,14,7,6,11,19,19,12,1,5,10,2,0,4,17,15,3,7,6,19,14,16,1,5,8,16,5,7,3,0,1,0,13,15,9,6,9,12,16,12,12,6,13,8,6,16,7,4,12,17
4,10,18,7,15,0,10,8,9,17,7,13,0,14,6,6,14,18,13,16,9,7,12,8,9,1,8,10,12,18,2,2,13,7,10,14,5,7,10,15,11,9,3,10,5,16,17,4,6,15,1,8,17,12,17,19,6,17,3,11,16,10,13,18
11,11,19,10,12,14,0,15,5,5,17,2,6,1,3,7,18,3,13,3,2,19,5,7,8,18,0,8,8,15,2,6,19,4,9,10,10,1,7,11,8,13,6,1,9,14,10,6,16,4,12,6,14,19,18,0,6,17,9,1,15,19,13,6
2,3,9,5,15,9,12,18,2,3,13,16,5,5,9,2,4,12,5,16,4,8,19,19,19,17,3,10,5,0,2,9,16,0,10,7,16,11,1,2,4,6,10,19,4,1,7,0,5,2,7,18,1,6,5,8,8,5,19,2,3,0,4,1
4,8,3,7,14,19,3,4,1,7,14,11,12,2,11,9,14,4,3,18,11,15,17,17,3,10,3,1,6,13,0,0,19,18,17,4,2,0,9,2,10,3,6,1,19,17,6,0,13,9,5,4,7,7,17,16,19,17,19,14,9,13,17,6
13,4,0,8,10,14,13,12,8,1,7,7,7,4,13,2,10,10,13,6,7,12,11,19,19,18,8,13,0,15,13,15,9,3,14,8,2,5,15,7,3,18,11,5,6,7,6,8,16,15,11,8,1,4,4,4,19,3,14,9,1,17,16,14
5,19,11,12,17,3,19,9,15,8,12,8,7,12,18,16,0,14,8,2,0,15,12,17,10,11,0,10,1,13,4,0,14,14,9,5,2,1,9,19,16,18,13,7,16,16,12,8,9,17,17,5,5,1,15,13,9,10,0,17,11,14,15,17
12,18,13,17,7,11,19,13,3,18,15,15,2,5,18,7,13,19,5,12,12,8,16,11,18,17,3,5,11,0,1,12,13,6,5,8,8,15,16,9,16,2,16,11,16,13,3,15,10,4,8,19,1,13,19,13,9,15,18,12,10,11,1,12
0,7,16,4,15,0,2,16,17,15,0,18,7,16,9,11,7,3,3,5,19,2,0,8,2,7,12,3,15,15,5,4,18,8,4,9,15,15,4,4,11,15,7,19,13,11,18,19,3,8,8,15,17,8,2,8,8,18,3,15,6,11,9,11
1,9,3,7,13,15,1,17,2,3,6,3,12,3,14,18,6,14,3,5,1,18,13,16,3,0,3,14,6,18,9,16,18,19,10,5,7,2,14,10,14,2,9,11,19,16,13,6,13,15,2,18,16,2,0,19,18,12,4,3,0,15,14,11
0,9,6,4,11,11,19,18,1,19,17,8,6,6,19,14,11,4,15,12,13,14,3,7,8,3,12,5,15,19,6,14,1,6,13,0,0,15,3,8,9,16,6,0,3,5,11,2,15,10,8,16,1,5,8,18,18,5,17,17,1,1,0,13
16,6,18,14,14,12,15,2,6,9,13,14,13,2,17,15,19,11,0,9,1,19,17,10,12,17,16,7,6,15,16,11,14,12,7,2,10,12,19,19,14,8,4,5,2,16,7,9,6,3,16,18,6,0,2,4,10,12,11,10,9,5,15,17
15,11,6,4,1,5,8,2,8,16,9,16,9,18,7,8,11,7,3,7,10,11,8,6,5,1,10,10,14,11,14,6,2,2,16,14,1,16,3,19,5,3,12,5,1,3,19,2,12,16,12,19,13,6,11,1,18,5,16,12,12,6,3,0
5,1,18,0,10,8,10,2,13,10,3,19,4,2,5,7,11,14,3,19,5,12,9,19,8,12,2,15,8,12,4,3,5,15,19,8,15,2,1,15,16,1,16,10,15,14,13,5,1,8,17,17,6,14,7,5,1,13,2,14,16,3,2,19
7,2,13,3,3,13,2,6,3,5,13,4,15,8,15,12,16,2,4,11,15,15,10,11,6,17,1,13,17,4,15,12,16,4,15,0,9,6,17,19,10,14,11,14,6,19,7,15,4,8,14,9,17,1,17,4,7,15,12,6,12,5,13,3
6,19,9,2,2,10,8,10,0,0,13,3,5,14,4,19,0,12,19,3,14,13,11,10,10,9,1,12,19,16,8,17,2,4,15,12,10,15,4,16,15,1,13,4,1,0,9,8,15,6,15,14,11,17,0,5,8,0,5,3,17,9,5,12
14,15,11,12,7,4,11,11,16,7,2,9,3,0,3,2,15,3,19,0,13,1,9,0,12,10,9,5,0,13,7,3,4,10,18,3,16,2,13,18,4,5,8,14,10,9,15,7,1,11,8,5,16,4,6,19,7,1,7,13,16,7,12,7
17,10,2,11,19,8,17,19,1,1,16,15,18,19,13,11,12,13,11,17,5,3,1,8,2,6,13,15,5,11,18,19,15,9,9,11,6,5,16,5,6,7,18,10,12,6,9,3,16,11,11,4,12,1,17,16,14,0,5,18,9,16,14,17
1,6,17,10,1,1,2,12,2,2,13,6,10,12,8,15,6,13,12,15,6,1,10,8,2,4,3,16,10,19,8,6,2,18,5,1,19,16,3,5,17,15,15,16,3,6,8,15,14,3,8,13,8,6,16,11,8,11,15,13,18,18,12,14
11,4,3,3,2,10,6,9,8,3,16,16,15,14,0,16,16,19,3,6,8,12,18,17,9,12,13,16,1,0,3,8,3,19,16,17,17,12,3,17,2,9,7,2,5,15,6,12,6,1,15,3,6,5,12,14,8,9,0,0,8,4,0,0
13,17,2,18,17,0,2,14,19,11,17,10,0,7,15,2,18,11,11,11,14,13,0,5,11,5,18,9,17,17,1,19,15,0,7,5,16,17,1,12,18,13,4,4,0,8,12,17,18,12,0,11,1,2,15,3,19,14,10,6,15,0,16,7
